address,predicted_address,housenumber,street_number,street,locality/colony,area,city,postal_code,,outcome,,,,,,
north campus,"2450 E Marshall St, Tulsa, OK 74110, USA",,2450,East Marshall Street,Tulsa County,Tulsa,74110,,,TP,,,,,,
"p-211/7A , Near sheetla mata mandir , patparganj , mayur vihar phase 1, new delhi","42-44, Patparganj Rd, Block D, Mayur Vihar Phase 1, New Delhi, Delhi 110091, India",,42-44,Patparganj Road,Mayur Vihar Phase 1 Block D,Gautam Buddh Nagar,New Delhi,110091,,TP,,,,,,
palam vihar gurgaon,"Palam Vihar, Gurugram, Haryana 122017, India",,,,Palam Vihar,Gurgaon,Gurugram,122017,,TP,,,,,,
Paschim Puri,"Paschim Puri, Paschim Vihar, Delhi, India",,,,Paschim Vihar Paschim Puri,West Delhi,Delhi,,,TP,,,,,,
"plot no.-14 ,instutional area,knowlegde patk-3 ,N.I.E.T collage,greater noida","19, Knowledge Park-II, Institutional Area, Greater Noida, Uttar Pradesh 201306, India",,,,,Greater Noida,201306,,,TP,,,,,,
pocket B dilshad garden,"Pocket B, Block B, Mcd Colony, Dilshad Garden, Delhi, 110095, India",,,,Dilshad Garden Mcd Colony,North East Delhi,Delhi,110095,,TP,,,,,,
pratap nagar,"Vir Banda Bairagi Marg, Azad Nagar, Gulabi Bagh, New Delhi, Delhi 110007, India",,,Vir Banda Bairagi Marg,Gulabi Bagh Azad Nagar,North Delhi,New Delhi,110007,,TP,,,,,,
r-58 west patel nagar,"West Patel Nagar, Patel Nagar, New Delhi, Delhi 110008, India",,,,Patel Nagar West Patel Nagar,Central Delhi,New Delhi,110008,,TP,,,,,,
"R1-13/2 budh vihar , delhi","R1, G-2/13 A, Block S 1, Budh Vihar Phase I, Budh Vihar, Delhi, 110086, India",,R1,,Budh Vihar Budh Vihar Phase I,North West Delhi,Delhi,110086,,TP,,,,,,
"Rajpura,gurmandi","Gurmandi, Rajpura, Kalyan Vihar, Delhi, 110007, India",,,,Kalyan Vihar Rajpura,Central Delhi,Delhi,110007,,TP,,,,,,
rohini sector 5,"Sector 5, Rohini, Delhi, 110085, India",,,,Rohini Sector 5,North West Delhi,Delhi,110085,,TP,,,,,,
"Room no. 06, Trishul AFWWA boys hostel, Subroto Park,New Delhi-110010","Subroto Park, New Delhi, Delhi 110010, India",,,,Subroto Park Subroto Park,New Delhi,New Delhi,110010,,TP,,,,,,
"rz 1 / 12 gali no 4, 2nd floor tugalkabad extention new Delhi","2nd floor, 1/35, Gali Number 4, Tughlakabad Extension, Tughlakabad, New Delhi, Delhi 110019, India",,2nd floor 1/35,Gali Number 4,Tughlakabad Tughlakabad Extension,South East Delhi,New Delhi,110019,,TP,,,,,,
RZ H -86 gali no.5 palam colony new delhi,"RZH 101/B, Gali No 5, Raj Nagar -II, Palam Colony, Delhi, Delhi 110077, India",,,,,"Palam Colony, Delhi",110077,,,TP,,,,,,
rz-e17 sanik enclave part 2 near crpf camp new delhi -72,"Sainik Enclave, Jai Vihar Colony, Masudabad, Najafgarh, Delhi, 110043, India",,,,Najafgarh Masudabad,South West Delhi,Delhi,110043,,TP,,,,,,
rzb 281 nihal vihar nangloi new delhi 110041,"RZB-4, Nala Road, Nihal Vihar, Delhi, 110041, India",,,,,Delhi,110041,,,TP,,,,,,
S-604 jalvayu vihar Gr.Noida,"Jalvayu Vihar, Phi II, Greater Noida, Uttar Pradesh 201310, India",,,,Phi II Jalvayu Vihar,Gautam Buddh Nagar,Greater Noida,201310,,TP,,,,,,
"S-7, spa boys hostel, Taimoor Nagar, Maharani Bagh, New Delhi","Block A, Friends Colony East, New Friends Colony, New Delhi, Delhi 110065, India",,,,New Friends Colony Friends Colony East,South Delhi,New Delhi,110065,,TP,,,,,,
S.Q. -5 SAFDARJUNG ROAD NEW DELHI,"Safdarjung Rd, New Delhi, Delhi, India",,,Safdarjung Road,New Delhi,New Delhi,,,,TP,,,,,,
Sahibabad,"Sahibabad, Ghaziabad, Uttar Pradesh, India",,,,Sahibabad,Ghaziabad,Ghaziabad,,,TP,,,,,,
sd - 504 tower apartment,"111 E 7th St, Sioux Falls, SD 57104, USA",,111,East 7th Street,Minnehaha County,Sioux Falls,57104,,,FP,,,,,,
"sec 48, surajkund road, faridabad","Suraj Kund Rd, Faridabad, India",,,Suraj Kund Road,,Faridabad,,,,TP,,,,,,
Sec 86 faridabad,"Sector 86, Faridabad, Haryana 121002, India",,,,Sector 86,Faridabad,Faridabad,121002,,TP,,,,,,
"Sec22, Rohini","Sector 22, Pocket 1, Sector 22, Rohini, Delhi, 110086, India",,,Sector 22,Rohini Sector 22,North West Delhi,Delhi,110086,,TP,,,,,,
"Sector 125,Amity University,Noida,UP","Sector 125, Noida, Uttar Pradesh 201313, India",,,,,Noida,201313,,,TP,,,,,,
sector-126,"Sector 126, Noida, Uttar Pradesh 201313, India",,,,Sector 126,Gautam Buddh Nagar,Noida,201313,,TP,,,,,,
Sector-6 Rohini,"Sector 6 Rd, Pocket 6, Sector 6D, Rohini, Delhi, 110085, India",,,Sector 6 Road,Rohini Sector 6D,North West Delhi,Delhi,110085,,TP,,,,,,
sg-1 sadarpur raipur road near amrapali sapphire Z Tower sector 45 noida,"Plot No:1, Sadarpur, Sector-45, Noida, Uttar Pradesh 201303, India",,Plot No:1,,Sector-45 Sadarpur,Gautam Buddh Nagar,Noida,201303,,TP,,,,,,
Shastri Nagar,"Delhi, India",,,,East Delhi,Delhi,,,,TP,,,,,,
"sheikh sarai phase 2, new Delhi","J Pocket, Phase II, Sheikh Sarai, New Delhi, Delhi 110017, India",,,,Sheikh Sarai Phase II,South Delhi,New Delhi,110017,,TP,,,,,,
"Sheikh-Sarai II, New Delhi","J Pocket, Phase II, Sheikh Sarai, New Delhi, Delhi 110017, India",,,,Sheikh Sarai Phase II,South Delhi,New Delhi,110017,,TP,,,,,,
shri ram college of commerce,"Central Delhi, Delhi, 110007, India",,,,Central Delhi,Delhi,110007,,,TP,,,,,,
south extension part 1,"South Extension I, New Delhi, Delhi, India",,,,South Extension I,South Delhi,New Delhi,,,TP,,,,,,
srm hostel,"hostel office srm University kattankulathur, India",,,,,,,,,TP,,,,,,
T86 saraie kale khan nizamuddin East new Delhi 110013,"21, Nagli Razapur, Near Nizamuddin Railway Station, Sarai Kale Khan, Nizamuddin East, New Delhi, Delhi 110013, India",,,,,New Delhi,110013,,,TP,,,,,,
"v-222 , Street no.-16 , vijaypark , Delhi 53","Street Number 16, Kailash Nagar, Gandhi Nagar, Seelampur, Shahdara, New Delhi, Delhi 110031, India",,,Street Number 16,Shahdara Seelampur,East Delhi,New Delhi,110031,,TP,,,,,,
Village-Tajnagar tehsil -Farrukhnagar p.o-patli station district -Gurgaon,"Tajnagar, Haryana, India",,,,Gurgaon,Tajnagar,,,,TP,,,,,,
vpo jamalpur,"Jamalpur, Bihar, India",,,,Munger,Jamalpur,,,,TP,,,,,,
w.t patil marg chembur (wesr),"Waman Tukaram Patil Marg, Chembur East, Mumbai, Maharashtra, India",,,Waman Tukaram Patil Marg,Chembur East,Mumbai Suburban,Mumbai,,,TP,,,,,,
west enclave pitampura,"West Enclave, Pitampura, Delhi, 110034, India",,,,Pitampura West Enclave,North West Delhi,Delhi,110034,,TP,,,,,,
wz-865 rani bagh pitampura,"865, Rani Bagh Rd, Rishi Nagar, Pitampura, Delhi, 110034, India",,865,Rani Bagh Road,Pitampura Rishi Nagar,North West Delhi,Delhi,110034,,TP,,,,,,
yamunagar,"Yamuna Nagar, Haryana, India",,,,Yamuna Nagar,Yamuna Nagar,,,,TP,,,,,,
